history:WM3423_BJ_LTA_REF/LTA_DISCHRG_PSIG
2019-十月-1 00:00 AM CT  to  2019-十月-16 14:26 PM CT

Timestamp,Trend Flags,Status,Value (psi)
"2019-十月-10 04:30:00 AM CT","{ }","{ok}","156.9 psi"
"2019-十月-10 04:40:00 AM CT","{ }","{ok}","162.7 psi"
"2019-十月-10 04:50:00 AM CT","{ }","{ok}","174.4 psi"
"2019-十月-10 05:00:00 AM CT","{ }","{ok}","175.9 psi"
"2019-十月-10 05:10:00 AM CT","{ }","{ok}","168.1 psi"
"2019-十月-10 05:20:00 AM CT","{ }","{ok}","192.0 psi"
"2019-十月-10 05:30:00 AM CT","{ }","{ok}","177.4 psi"
"2019-十月-10 05:40:00 AM CT","{ }","{ok}","179.8 psi"
"2019-十月-10 05:50:00 AM CT","{ }","{ok}","186.6 psi"
"2019-十月-10 06:00:00 AM CT","{ }","{ok}","173.9 psi"
"2019-十月-10 06:10:00 AM CT","{ }","{ok}","197.9 psi"
"2019-十月-10 06:20:00 AM CT","{ }","{ok}","186.6 psi"
"2019-十月-10 06:30:00 AM CT","{ }","{ok}","193.0 psi"
"2019-十月-10 06:40:00 AM CT","{ }","{ok}","181.8 psi"
"2019-十月-10 06:50:00 AM CT","{ }","{ok}","178.8 psi"
"2019-十月-10 07:00:00 AM CT","{ }","{ok}","193.5 psi"
"2019-十月-10 07:10:00 AM CT","{ }","{ok}","182.2 psi"
"2019-十月-10 07:20:00 AM CT","{ }","{ok}","226.2 psi"
"2019-十月-10 07:30:00 AM CT","{ }","{ok}","191.5 psi"
"2019-十月-10 07:40:00 AM CT","{ }","{ok}","195.9 psi"
"2019-十月-10 07:50:00 AM CT","{ }","{ok}","201.8 psi"
"2019-十月-10 08:00:00 AM CT","{ }","{ok}","191.0 psi"
"2019-十月-10 08:10:00 AM CT","{ }","{ok}","186.6 psi"
"2019-十月-10 08:20:00 AM CT","{ }","{ok}","187.1 psi"
"2019-十月-10 08:30:00 AM CT","{ }","{ok}","187.1 psi"
"2019-十月-10 08:40:00 AM CT","{ }","{ok}","229.6 psi"
"2019-十月-10 08:50:00 AM CT","{ }","{ok}","214.5 psi"
"2019-十月-10 09:00:00 AM CT","{ }","{ok}","217.9 psi"
"2019-十月-10 09:10:00 AM CT","{ }","{ok}","199.3 psi"
"2019-十月-10 09:20:00 AM CT","{ }","{ok}","212.0 psi"
"2019-十月-10 09:30:00 AM CT","{ }","{ok}","206.2 psi"
"2019-十月-10 09:40:00 AM CT","{ }","{ok}","215.4 psi"
"2019-十月-10 09:50:00 AM CT","{ }","{ok}","201.3 psi"
"2019-十月-10 10:00:00 AM CT","{ }","{ok}","208.1 psi"
"2019-十月-10 10:10:00 AM CT","{ }","{ok}","180.3 psi"
"2019-十月-10 10:20:00 AM CT","{ }","{ok}","190.5 psi"
"2019-十月-10 10:30:00 AM CT","{ }","{ok}","195.4 psi"
"2019-十月-10 10:40:00 AM CT","{ }","{ok}","173.9 psi"
"2019-十月-10 10:50:00 AM CT","{ }","{ok}","214.0 psi"
"2019-十月-10 11:00:00 AM CT","{ }","{ok}","192.0 psi"
"2019-十月-10 11:10:00 AM CT","{ }","{ok}","197.4 psi"
"2019-十月-10 11:20:00 AM CT","{ }","{ok}","219.3 psi"
"2019-十月-10 11:30:00 AM CT","{ }","{ok}","210.6 psi"
"2019-十月-10 11:40:00 AM CT","{ }","{ok}","213.5 psi"
"2019-十月-10 11:50:00 AM CT","{ }","{ok}","220.3 psi"
"2019-十月-10 12:00:00 PM CT","{ }","{ok}","210.6 psi"
"2019-十月-10 12:10:00 PM CT","{ }","{ok}","214.0 psi"
"2019-十月-10 12:20:00 PM CT","{ }","{ok}","201.8 psi"
"2019-十月-10 12:30:00 PM CT","{ }","{ok}","206.7 psi"
"2019-十月-10 12:40:00 PM CT","{ }","{ok}","206.7 psi"
"2019-十月-10 12:50:00 PM CT","{ }","{ok}","212.5 psi"
"2019-十月-10 13:00:00 PM CT","{ }","{ok}","207.6 psi"
"2019-十月-10 13:10:00 PM CT","{ }","{ok}","186.1 psi"
"2019-十月-10 13:20:00 PM CT","{ }","{ok}","224.7 psi"
"2019-十月-10 13:30:00 PM CT","{ }","{ok}","207.6 psi"
"2019-十月-10 13:40:00 PM CT","{ }","{ok}","201.8 psi"
"2019-十月-10 13:50:00 PM CT","{ }","{ok}","198.8 psi"
"2019-十月-10 14:00:00 PM CT","{ }","{ok}","176.4 psi"
"2019-十月-10 14:10:00 PM CT","{ }","{ok}","191.0 psi"
"2019-十月-10 14:20:00 PM CT","{ }","{ok}","187.6 psi"
"2019-十月-10 14:30:00 PM CT","{ }","{ok}","192.0 psi"
