Timestamp,B TEMP_Value (°F),Predict,Lower,Upper
2019-10-15 11:30:00,-16.0,,,
2019-10-15 11:40:00,-11.5,,,
2019-10-15 11:50:00,-13.5,,,
2019-10-15 12:00:00,-13.5,,,
2019-10-15 12:10:00,-10.5,,,
2019-10-15 12:20:00,-12.0,,,
2019-10-15 12:30:00,-14.5,,,
2019-10-15 12:40:00,-14.5,,,
2019-10-15 12:50:00,-13.5,,,
2019-10-15 13:00:00,-13.0,,,
2019-10-15 13:10:00,-15.0,,,
2019-10-15 13:20:00,-11.5,,,
2019-10-15 13:30:00,-17.0,,,
2019-10-15 13:40:00,-14.5,,,
2019-10-15 13:50:00,-11.5,,,
2019-10-15 14:00:00,-13.5,,,
2019-10-15 14:10:00,24.0,,,
2019-10-15 14:20:00,46.0,,,
2019-10-15 14:30:00,58.5,,,
2019-10-15 14:40:00,9.0,,,
2019-10-15 14:50:00,-4.0,,,
2019-10-15 15:00:00,-6.0,,,
2019-10-15 15:10:00,-9.5,,,
2019-10-15 15:20:00,-10.5,,,
2019-10-15 15:30:00,-10.5,,,
2019-10-15 15:40:00,-13.5,,,
2019-10-15 15:50:00,-11.5,,,
2019-10-15 16:00:00,-13.0,,,
2019-10-15 16:10:00,-11.5,,,
2019-10-15 16:20:00,-12.0,,,
2019-10-15 16:30:00,-16.0,,,
2019-10-15 16:40:00,-15.5,,,
2019-10-15 16:50:00,-11.5,,,
2019-10-15 17:00:00,-16.0,,,
2019-10-15 17:10:00,-12.0,,,
2019-10-15 17:20:00,-12.0,,,
2019-10-15 17:30:00,-14.5,,,
2019-10-15 17:40:00,-12.5,,,
2019-10-15 17:50:00,-14.5,,,
2019-10-15 18:00:00,-12.5,,,
2019-10-15 18:10:00,-13.5,,,
2019-10-15 18:20:00,-13.5,,,
2019-10-15 18:30:00,-18.0,,,
2019-10-15 18:40:00,-15.0,,,
2019-10-15 18:50:00,-12.5,,,
2019-10-15 19:00:00,-11.0,,,
2019-10-15 19:10:00,-15.5,,,
2019-10-15 19:20:00,-14.0,,,
2019-10-15 19:30:00,-15.5,,,
2019-10-15 19:40:00,-14.0,,,
2019-10-15 19:50:00,-12.5,,,
2019-10-15 20:00:00,-7.0,,,
2019-10-15 20:10:00,26.5,,,
2019-10-15 20:20:00,46.5,,,
2019-10-15 20:30:00,60.0,,,
2019-10-15 20:40:00,9.5,,,
2019-10-15 20:50:00,-5.5,,,
2019-10-15 21:00:00,-8.0,,,
2019-10-15 21:10:00,-7.0,,,
2019-10-15 21:20:00,-11.5,,,
2019-10-15 21:30:00,-13.0,,,
2019-10-15 21:40:00,-13.0,,,
2019-10-15 21:50:00,-13.0,,,
2019-10-15 22:00:00,-11.0,,,
2019-10-15 22:10:00,-13.5,,,
2019-10-15 22:20:00,-8.5,,,
2019-10-15 22:30:00,-12.5,,,
2019-10-15 22:40:00,-15.0,,,
2019-10-15 22:50:00,-13.5,,,
2019-10-15 23:00:00,-10.0,,,
2019-10-15 23:10:00,-14.0,,,
2019-10-15 23:20:00,-14.5,,,
2019-10-15 23:30:00,-15.5,,,
2019-10-15 23:40:00,-13.5,,,
2019-10-15 23:50:00,-9.0,,,
2019-10-16 00:00:00,,-12.553745539076996,-20.02368158001803,-5.083809498135959
2019-10-16 00:10:00,,-12.462458416923024,-19.932234640498898,-4.992682193347151
2019-10-16 00:20:00,,-13.345443521797899,-20.81521974537377,-5.875667298222027
2019-10-16 00:30:00,,-15.90445203355982,-23.37422825713569,-8.434675809983949
2019-10-16 00:40:00,,-14.301288497284395,-21.771064720860267,-6.8315122737085225
2019-10-16 00:50:00,,-12.502703840693611,-19.972480064269483,-5.032927617117739
2019-10-16 01:00:00,,-11.30163702097683,-18.771413244552704,-3.8318607974009575
2019-10-16 01:10:00,,-15.520629769680914,-22.990405993256786,-8.050853546105042
2019-10-16 01:20:00,,-13.346352107796461,-20.816128331372333,-5.876575884220588
2019-10-16 01:30:00,,-15.495339449946536,-22.96511567352241,-8.025563226370664
2019-10-16 01:40:00,,-13.943998328850268,-21.41377455242614,-6.4742221052743965
2019-10-16 01:50:00,,-12.551731486194948,-20.02150770977082,-5.081955262619075
2019-10-16 02:00:00,,-9.132258538799093,-16.602034762374963,-1.6624823152232207
2019-10-16 02:10:00,,24.695989986682065,17.226213763106195,32.165766210257935
2019-10-16 02:20:00,,46.417744713621815,38.947968490045945,53.887520937197685
2019-10-16 02:30:00,,60.10881691045822,52.63904068688235,67.5785931340341
2019-10-16 02:40:00,,11.197756554241842,3.72798033066597,18.667532777817712
2019-10-16 02:50:00,,-4.585798789170262,-12.055575012746134,2.88397743440561
2019-10-16 03:00:00,,-7.474236050766858,-14.94401227434273,-0.004459827190984811
2019-10-16 03:10:00,,-7.861962100184954,-15.331738323760826,-0.3921858766090818
2019-10-16 03:20:00,,-11.569340235222498,-19.039116458798368,-4.099564011646626
2019-10-16 03:30:00,,-12.637010304950532,-20.106786528526406,-5.1672340813746604
2019-10-16 03:40:00,,-12.82497365799731,-20.294749881573182,-5.355197434421438
2019-10-16 03:50:00,,-12.505396839718149,-19.975173063294022,-5.035620616142276
2019-10-16 04:00:00,,-12.089582535988637,-19.55935875956451,-4.619806312412765
2019-10-16 04:10:00,,-12.944163038824453,-20.413939262400326,-5.47438681524858
2019-10-16 04:20:00,,-10.627745148647229,-18.0975213722231,-3.1579689250713567
2019-10-16 04:30:00,,-12.933536435130987,-20.40331265870686,-5.4637602115551145
2019-10-16 04:40:00,,-14.059707971726965,-21.52948419530284,-6.589931748151092
2019-10-16 04:50:00,,-13.44943083540568,-20.919207058981552,-5.979654611829807
2019-10-16 05:00:00,,-10.80419172199829,-18.273967945574164,-3.334415498422418
2019-10-16 05:10:00,,-13.8136343720708,-21.28341059564667,-6.3438581484949275
2019-10-16 05:20:00,,-14.110210138252217,-21.57998636182809,-6.640433914676345
2019-10-16 05:30:00,,-13.989242280880331,-21.459018504456203,-6.519466057304459
2019-10-16 05:40:00,,-13.40657595784838,-20.876352181424252,-5.936799734272508
2019-10-16 05:50:00,,-11.574079661575709,-19.043855885151583,-4.104303437999836
2019-10-16 06:00:00,,-12.341698398589344,-21.15040449724531,-3.532992299933378
2019-10-16 06:10:00,,-12.64953226371099,-21.456069648970818,-3.8429948784511634
2019-10-16 06:20:00,,-13.368697771745186,-22.175235157005012,-4.56216038648536
2019-10-16 06:30:00,,-15.02979531993554,-23.836332705195368,-6.223257934675713
2019-10-16 06:40:00,,-14.567345769740237,-23.373883155000065,-5.760808384480411
2019-10-16 06:50:00,,-13.088649896068063,-21.895187281327885,-4.282112510808238
2019-10-16 07:00:00,,-11.28557970658576,-20.092117091845587,-2.4790423213259345
2019-10-16 07:10:00,,-15.016923850233052,-23.82346123549288,-6.210386464973228
2019-10-16 07:20:00,,-13.625776359293116,-22.432313744552943,-4.81923897403329
2019-10-16 07:30:00,,-15.281494278877126,-24.08803166413695,-6.474956893617302
2019-10-16 07:40:00,,-13.907369322806813,-22.713906708066638,-5.100831937546987
2019-10-16 07:50:00,,-13.588269317195712,-22.39480670245554,-4.7817319319358855
2019-10-16 08:00:00,,-9.457581694948408,-18.264119080208232,-0.651044309688583
2019-10-16 08:10:00,,24.43234117447435,15.625803789214524,33.238878559734175
2019-10-16 08:20:00,,45.57239204242822,36.76585465716839,54.37892942768805
2019-10-16 08:30:00,,59.52546163299333,50.718924247733504,68.33199901825316
2019-10-16 08:40:00,,11.572690949893792,2.766153564633967,20.379228335153616
2019-10-16 08:50:00,,-4.845781929229022,-13.65231931448885,3.960755456030804
2019-10-16 09:00:00,,-7.472606699665011,-16.279144084924837,1.3339306855948152
2019-10-16 09:10:00,,-8.095167933962644,-16.901705319222472,0.7113694512971822
2019-10-16 09:20:00,,-11.213598942030787,-20.02013632729061,-2.4070615567709623
2019-10-16 09:30:00,,-13.047312933874334,-21.85385031913416,-4.240775548614508
2019-10-16 09:40:00,,-12.456365752944446,-21.262903138204273,-3.6498283676846217
2019-10-16 09:50:00,,-12.747756343116853,-21.554293728376678,-3.9412189578570285
2019-10-16 10:00:00,,-11.686962740828108,-20.493500126087934,-2.8804253555682813
2019-10-16 10:10:00,,-13.782927675516193,-22.58946506077602,-4.976390290256367
2019-10-16 10:20:00,,-9.277263754419774,-18.0838011396796,-0.4707263691599497
2019-10-16 10:30:00,,-13.54196126030582,-22.34849864556565,-4.735423875045994
2019-10-16 10:40:00,,-14.603494515801138,-23.410031901060965,-5.796957130541312
2019-10-16 10:50:00,,-13.056882550631823,-21.86341993589165,-4.250345165371996
2019-10-16 11:00:00,,-10.700470509238503,-19.50700789449833,-1.8939331239786767
2019-10-16 11:10:00,,-13.507807023691749,-22.314344408951573,-4.701269638431924
2019-10-16 11:20:00,,-13.86329559529756,-22.669832980557384,-5.056758210037735
2019-10-16 11:30:00,,-14.11829827419205,-22.924835659451873,-5.311760888932225
2019-10-16 11:40:00,,-13.549146566952743,-22.355683952212566,-4.742609181692918
